Well,Strain,Environment
A1,I2706,0mM
A2,I2706,10mM
A3,I2706,25mM
A4,I2706,50mM
A5,I2706,100mM
A6,I2706,200mM
A7,I2748,0mM
A8,I2748,10mM
A9,I2748,25mM
A10,I2748,50mM
A11,I2748,100mM
A12,I2748,200mM
B1,I2706,0mM
B2,I2706,10mM
B3,I2706,25mM
B4,I2706,50mM
B5,I2706,100mM
B6,I2706,200mM
C1,I2706,0mM
C2,I2706,10mM
C3,I2706,25mM
C4,I2706,50mM
C5,I2706,100mM
C6,I2706,200mM
D1,I2759,0mM
D2,I2759,10mM
D3,I2759,25mM
D4,I2759,50mM
D5,I2759,100mM
D6,I2759,200mM
E1,I2759,0mM
E2,I2759,10mM
E3,I2759,25mM
E4,I2759,50mM
E5,I2759,100mM
E6,I2759,200mM
F1,I2759,0mM
F2,I2759,10mM
F3,I2759,25mM
F4,I2759,50mM
F5,I2759,100mM
F6,I2759,200mM
G1,I2748,0mM
G2,I2748,10mM
G3,I2748,25mM
G4,I2748,50mM
G5,I2748,100mM
G6,I2748,200mM
H1,I2748,0mM
H2,I2748,10mM
H3,I2748,25mM
H4,I2748,50mM
H5,I2748,100mM
H6,I2748,200mM